"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,,,
Isolate_Id,HA Segment_Id,NA Segment_Id,Location,Collection_Date,Isolate_Name,Originating_Lab,Submitting_Lab,Authors
EPI_ISL_229399,EPI808054,EPI808053,North America / United States / Ohio,4/25/2016,B/Ohio/08/2016,Ohio Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_239343,EPI866646,EPI866645,North America / United States / Iowa,11/1/2016,B/Iowa/27/2016,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_218684,EPI745202,EPI745201,North America / United States / New Hampshire,2/29/2016,B/New Hampshire/07/2016,New Hampshire Public Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_220679,EPI754492,EPI754491,North America / United States / Kentucky,2/21/2016,B/Kentucky/08/2016,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_240466,EPI872676,EPI872675,North America / United States / Pennsylvania,11/10/2016,B/Pennsylvania/60/2016,Pennsylvania Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_218655,EPI744971,EPI744970,North America / United States / Arkansas,2/19/2016,B/Arkansas/04/2016,Arkansas Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_217835,EPI740064,EPI740063,North America / United States / Wisconsin,2/29/2016,B/Wisconsin/13/2016,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_243877,EPI892498,EPI892497,North America / United States / Illinois,11/28/2016,B/Illinois/16/2016,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_217780,EPI739641,EPI739640,North America / United States / Washington,2/23/2016,B/Washington/43/2016,Seattle & King County Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_247647,EPI908846,EPI908845,North America / United States / Illinois,12/26/2016,B/Illinois/23/2016,Illinois Department of Public Health-Chicago,Centers for Disease Control and Prevention,
EPI_ISL_220790,EPI755348,EPI755347,North America / United States / Nevada,3/15/2016,B/Nevada/19/2016,Nevada State Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_220765,EPI755154,EPI755153,North America / United States / Pennsylvania,3/9/2016,B/Pennsylvania/21/2016,UPMC-CLB Dept of Microbiology,Centers for Disease Control and Prevention,
EPI_ISL_220830,EPI755657,EPI755656,North America / United States / Utah,3/28/2016,B/Utah/49/2016,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_222880,EPI765604,EPI765603,North America / United States / Arkansas,2/17/2016,B/Arkansas/03/2016,Arkansas Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_229360,EPI807769,EPI807768,North America / United States / Indiana,4/1/2016,B/Indiana/13/2016,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_220684,EPI754532,EPI754531,North America / United States / Pennsylvania,2/15/2016,B/Pennsylvania/11/2016,UPMC-CLB Dept of Microbiology,Centers for Disease Control and Prevention,
EPI_ISL_222977,EPI766359,EPI766358,North America / United States / New Hampshire,4/12/2016,B/New Hampshire/20/2016,New Hampshire Public Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_241668,EPI880342,EPI880341,North America / United States / Hawaii,11/26/2016,B/Hawaii/53/2016,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_225204,EPI776817,EPI776816,North America / United States / Massachusetts,3/31/2016,B/Massachusetts/13/2016,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_214288,EPI721349,EPI721348,North America / United States / Massachusetts,1/20/2016,B/Massachusetts/02/2016,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_222909,EPI765836,EPI765835,North America / United States / Kentucky,3/7/2016,B/Kentucky/10/2016,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_247628,EPI908699,EPI908698,North America / United States / Mississippi,12/27/2016,B/Mississippi/25/2016,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_230550,EPI815892,EPI815891,North America / United States / New York,5/3/2016,B/New York/46/2016,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_233713,EPI834378,EPI834377,North America / United States / Arizona,6/20/2016,B/Arizona/33/2016,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_220723,EPI754830,EPI754829,North America / United States / Texas,3/3/2016,B/Texas/49/2016,Baylor College of Medicine,Centers for Disease Control and Prevention,
EPI_ISL_217576,EPI738095,EPI738094,North America / United States / Maine,2/8/2016,B/Maine/03/2016,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_217663,EPI738739,EPI738738,North America / United States / Florida,1/1/2016,B/Florida/18/2016,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,
EPI_ISL_255797,EPI958376,EPI958375,North America / United States / Maryland,12/27/2016,B/Maryland/15/2016,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_233135,EPI830914,EPI830913,North America / United States / Nevada,3/31/2016,B/Nevada/22/2016,Nevada State Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_247702,EPI909285,EPI909284,North America / United States / South Dakota,12/12/2016,B/South Dakota/19/2016,South Dakota Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_230558,EPI815956,EPI815955,North America / United States / Idaho,5/5/2016,B/Idaho/40/2016,State of Idaho Bureau of Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_223009,EPI766607,EPI766606,North America / United States / Idaho,4/8/2016,B/Idaho/34/2016,State of Idaho Bureau of Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_212837,EPI714244,EPI714243,North America / United States / Texas,1/12/2016,B/Texas/03/2016,Baylor College of Medicine,Centers for Disease Control and Prevention,
EPI_ISL_222966,EPI766271,EPI766270,North America / United States / Vermont,4/11/2016,B/Vermont/10/2016,Vermont Department of Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_220795,EPI755388,EPI755387,North America / United States / New Hampshire,3/18/2016,B/New Hampshire/12/2016,New Hampshire Public Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_222944,EPI766105,EPI766104,North America / United States / Missouri,3/25/2016,B/Missouri/05/2016,Missouri Department. of Health & Senior Services,Centers for Disease Control and Prevention,
EPI_ISL_220697,EPI754636,EPI754635,North America / United States / Pennsylvania,2/25/2016,B/Pennsylvania/15/2016,UPMC-CLB Dept of Microbiology,Centers for Disease Control and Prevention,
EPI_ISL_233773,EPI834832,EPI834831,North America / United States / North Carolina,7/12/2016,B/North Carolina/25/2016,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_238884,EPI863779,EPI863778,North America / United States / Washington,10/12/2016,B/Washington/92/2016,Seattle & King County Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_220832,EPI755671,EPI755670,North America / United States / Florida,3/21/2016,B/Florida/44/2016,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_233702,EPI834290,EPI834289,North America / United States / Florida,6/23/2016,B/Florida/75/2016,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_220718,EPI754794,EPI754793,North America / United States / Texas,2/23/2016,B/Texas/47/2016,Baylor College of Medicine,Centers for Disease Control and Prevention,
EPI_ISL_222964,EPI766255,EPI766254,North America / United States / Florida,4/3/2016,B/Florida/50/2016,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_222904,EPI765796,EPI765795,North America / United States / Texas,3/9/2016,B/Texas/41/2016,Houston Department of Health and Human Services,Centers for Disease Control and Prevention,
EPI_ISL_229416,EPI808190,EPI808189,North America / United States / Kentucky,5/2/2016,B/Kentucky/22/2016,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_223038,EPI766814,EPI766813,North America / United States / Pennsylvania,4/11/2016,B/Pennsylvania/40/2016,UPMC-CLB Dept of Microbiology,Centers for Disease Control and Prevention,
EPI_ISL_225261,EPI777263,EPI777262,North America / United States / North Carolina,4/28/2016,B/North Carolina/20/2016,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_220745,EPI754995,EPI754994,North America / United States / Texas,2/16/2016,B/Texas/59/2016,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_220683,EPI754524,EPI754523,North America / United States / Pennsylvania,2/11/2016,B/Pennsylvania/10/2016,UPMC-CLB Dept of Microbiology,Centers for Disease Control and Prevention,
EPI_ISL_225155,EPI776425,EPI776424,North America / United States / South Carolina,5/2/2016,B/South Carolina/10/2016,South Carolina Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_217770,EPI739562,EPI739561,North America / United States / California,2/22/2016,B/California/38/2016,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_247609,EPI908555,EPI908554,North America / United States / Indiana,3/1/2016,B/Indiana/08/2016,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_229230,EPI806745,EPI806744,North America / United States / Hawaii,4/6/2016,B/Hawaii/26/2016,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_229419,EPI808214,EPI808213,North America / United States / New York,5/7/2016,B/New York/47/2016,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_212929,EPI714925,EPI714924,North America / United States / Hawaii,1/24/2016,B/Hawaii/03/2016,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_217810,EPI739871,EPI739870,North America / United States / Kentucky,2/21/2016,B/Kentucky/08/2016,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_225168,EPI776529,EPI776528,North America / United States / Washington,3/16/2016,B/Washington/60/2016,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_217782,EPI739653,EPI739652,North America / United States / Washington,2/7/2016,B/Washington/46/2016,Washington State Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_220831,EPI755664,EPI755663,North America / United States / Utah,3/22/2016,B/Utah/50/2016,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_238868,EPI863655,EPI863654,North America / United States / Iowa,9/30/2016,B/Iowa/26/2016,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_247620,EPI908642,EPI908641,North America / United States / Utah,12/18/2016,B/Utah/63/2016,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_247700,EPI909269,EPI909268,North America / United States / South Dakota,12/28/2016,B/South Dakota/20/2016,South Dakota Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_220833,EPI755679,EPI755678,North America / United States / Florida,3/25/2016,B/Florida/45/2016,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_217664,EPI738747,EPI738746,North America / United States / Florida,2/1/2016,B/Florida/19/2016,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,
EPI_ISL_267451,EPI1011382,EPI1011381,North America / United States / Virginia,11/6/2016,B/Virginia/56/2016,Virginia Division of Consolidated Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_277826,EPI1059748,EPI1059747,North America / United States / New Mexico,4/10/2017,B/New Mexico/12/2017,New Mexico Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_259477,EPI978457,EPI978456,North America / United States / Florida,2/23/2017,B/Florida/17/2017,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_282240,EPI1082447,EPI1082446,North America / United States / Georgia,6/6/2017,B/Georgia/11/2017,Georgia Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_264405,EPI1003268,EPI1003267,North America / United States / Tennessee,4/12/2017,B/Tennessee/21/2017,Tennessee Department of Health Laboratory-Nashville,Centers for Disease Control and Prevention,
EPI_ISL_266866,EPI1009725,EPI1009724,North America / United States / California,4/7/2017,B/California/19/2017,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_256893,EPI964082,EPI964081,North America / United States / Nebraska,2/16/2017,B/Nebraska/06/2017,Nebraska Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_266626,EPI1007993,EPI1007992,North America / United States / Minnesota,5/5/2017,B/Minnesota/22/2017,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_268926,EPI1021085,EPI1021084,North America / United States / Florida,5/27/2017,B/Florida/80/2017,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_243876,EPI892490,EPI892489,North America / United States / Delaware,1/2/2017,B/Delaware/02/2017,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_264118,EPI1002076,EPI1002075,North America / United States / Massachusetts,4/13/2017,B/Massachusetts/13/2017,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_267470,EPI1011528,EPI1011527,North America / United States / Ohio,2/18/2017,B/Ohio/07/2017,Ohio Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_273816,EPI1040008,EPI1040007,North America / United States / New York,3/1/2017,B/New York/28/2017,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_259408,EPI977945,EPI977944,North America / United States / Washington,3/9/2017,B/Washington/18/2017,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_268881,EPI1020736,EPI1020735,North America / United States / Illinois,4/14/2017,B/Illinois/41/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_267521,EPI1011919,EPI1011918,North America / United States / Pennsylvania,4/17/2017,B/Pennsylvania/43/2017,Pennsylvania Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_273826,EPI1040088,EPI1040087,North America / United States / South Dakota,3/18/2017,B/South Dakota/28/2017,South Dakota Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_267510,EPI1011839,EPI1011838,North America / United States / Utah,4/27/2017,B/Utah/24/2017,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_276385,EPI1051467,EPI1051466,North America / United States / Arizona,6/6/2017,B/Arizona/45/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_270000,EPI1025510,EPI1025509,North America / United States / Alabama,6/3/2017,B/Alabama/08/2017,ADPH Bureau of Clinical Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_270085,EPI1026154,EPI1039991,North America / United States / Iowa,3/8/2017,B/Iowa/19/2017,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_255258,EPI955175,EPI955174,North America / United States / Texas,2/11/2017,B/Texas/24/2017,Dallas County Health and Human Services,Centers for Disease Control and Prevention,
EPI_ISL_262798,EPI994896,EPI994895,North America / United States / New York,4/2/2017,B/New York/17/2017,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_296343,EPI1165208,EPI1165207,North America / United States / California,10/19/2017,B/California/65/2017,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_274417,EPI1042392,EPI1042391,North America / United States / California,6/30/2017,B/California/37/2017,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_248998,EPI917963,EPI917962,North America / United States / Texas,1/17/2017,B/Texas/08/2017,Dallas County Health and Human Services,Centers for Disease Control and Prevention,
EPI_ISL_276392,EPI1051520,EPI1051519,North America / United States / Louisiana,4/3/2017,B/Louisiana/34/2017,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,
EPI_ISL_252994,EPI942728,EPI942727,North America / United States / Missouri,2/3/2017,B/Missouri/03/2017,Missouri Department. of Health & Senior Services,Centers for Disease Control and Prevention,
EPI_ISL_257759,EPI969563,EPI969562,North America / United States / North Carolina,2/13/2017,B/North Carolina/03/2017,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_268879,EPI1020720,EPI1020719,North America / United States / Illinois,4/15/2017,B/Illinois/42/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_270122,EPI1026441,EPI1026440,North America / United States / Wisconsin,3/1/2017,B/Wisconsin/40/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_268913,EPI1020989,EPI1020988,North America / United States / Florida,3/3/2017,B/Florida/58/2017,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_259366,EPI977626,EPI977625,North America / United States / Mississippi,3/21/2017,B/Mississippi/07/2017,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_276384,EPI1051459,EPI1051458,North America / United States / Arizona,6/3/2017,B/Arizona/44/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_267557,EPI1012207,EPI1012206,North America / United States / Maryland,3/7/2017,B/Maryland/23/2017,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_270127,EPI1026481,EPI1026480,North America / United States / Wisconsin,3/20/2017,B/Wisconsin/45/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_267548,EPI1012135,EPI1012134,North America / United States / Minnesota,3/8/2017,B/Minnesota/25/2017,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_262827,EPI995126,EPI995125,North America / United States / Kentucky,3/8/2017,B/Kentucky/09/2017,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_249888,EPI924299,EPI924298,North America / United States / Indiana,1/20/2017,B/Indiana/03/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_243875,EPI892482,EPI892481,North America / United States / Delaware,1/2/2017,B/Delaware/01/2017,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_276393,EPI1051525,EPI1051524,North America / United States / Louisiana,4/4/2017,B/Louisiana/35/2017,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,
EPI_ISL_258172,EPI972009,EPI972008,North America / United States / North Carolina,2/27/2017,B/North Carolina/07/2017,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_256883,EPI964011,EPI964010,North America / United States / Louisiana,2/22/2017,B/Louisiana/07/2017,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,
